,id_x,type,startTime,endTime,duration,success,failure,parent,next,previous,object_acted_on,object_type,bodyPartsUsed,arm,grasp,effort,id_y,action_task_id,t_x,t_y,t_z,q_x,q_y,q_z,q_w
2,Action_EXHYQOPR,Grasping,1600372304.436683,1600372304.8985033,0.4618203639984131,False,CRAMGripperClosedCompletely,Action_CSKHOEJI,,,milk_1,, :LEFT,Front,,,2,Action_EXHYQOPR,0.15999984741210938,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2687176764011383,0.9632189869880676
3,Action_OTWFCQRX,Grasping,1600372328.1066759,1600372328.6380904,0.5314142704010011,False,CRAMGripperClosedCompletely,Action_CKYOTJFZ,,,milk_1,, :LEFT,Front,,,3,Action_OTWFCQRX,0.15999984741210938,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2687176764011383,0.9632189869880676
5,Action_GRQHTJEB,Grasping,1600372317.8817306,1600372318.3858025,0.5040719509124756,False,CRAMGripperClosedCompletely,Action_VOSYBEQM,,,milk_1,, :LEFT,Front,,,5,Action_GRQHTJEB,0.15999984741210938,-0.7200002670288086,3.814697266402156e-09,0.0,0.0,-0.2687176764011383,0.9632189869880676
0,Action_SWGVQYJP,Grasping,1600348982.8554618,1600348983.308544,0.4530818462371826,False,CRAMGripperClosedCompletely,Action_NKMPBWJH,,,milk_1,, :LEFT,Front,,,0,Action_SWGVQYJP,0.0,-1.0,3.814697266402156e-09,0.0,0.0,-0.10155443102121353,0.9948300123214722
1,Action_UGIMDOBK,Grasping,1600349015.7076595,1600349016.195788,0.4881281852722168,False,CRAMGripperClosedCompletely,Action_JPQEDGOM,,,milk_1,, :LEFT,Front,,,1,Action_UGIMDOBK,0.0,-1.0,3.814697266402156e-09,0.0,0.0,-0.10155441612005234,0.9948300123214722
2,Action_FUZNBORX,Grasping,1600349030.9837592,1600349031.5420377,0.5582785606384277,True,,Action_NRHUOZYJ,,,milk_1,, :LEFT,Front,,,2,Action_FUZNBORX,0.26879730224609377,-1.2193705240885415,3.814697266402156e-09,0.0,0.0,-0.056100551038980484,0.9984251260757446
3,Action_BKTWLCDG,Grasping,1600348992.2462332,1600348992.7321668,0.4859335422515869,False,CRAMGripperClosedCompletely,Action_TXKCGJWD,,,milk_1,, :LEFT,Front,,,3,Action_BKTWLCDG,0.0,-1.0,3.814697266402156e-09,0.0,0.0,-0.1015542671084404,0.9948300123214722
4,Action_XSLKNRQJ,Grasping,1600349005.46703,1600349005.978451,0.5114209651947021,False,CRAMGripperClosedCompletely,Action_PXJTCGSR,,,milk_1,, :LEFT,Front,,,4,Action_XSLKNRQJ,0.0,-1.0,3.814697266402156e-09,0.0,0.0,-0.10155443102121353,0.9948300123214722
0,Action_FESQUXHP,Grasping,1600369607.6953907,1600369608.2278259,0.5324351787567139,True,,Action_LRVDQCNO,,,milk_1,, :LEFT,Front,,,0,Action_FESQUXHP,0.21144059499104814,-1.3640557607014974,3.814697266402156e-09,0.0,0.0,-0.0211787186563015,0.9997757077217102
0,Action_BIEFYUDS,Grasping,1600331951.168069,1600331951.6452641,0.4771952629089356,False,CRAMGripperClosedCompletely,Action_FDLKJHCM,,,milk_1,, :LEFT,Front,,,0,Action_BIEFYUDS,-0.039999961853027344,-1.2400002797444662,3.814697266402156e-09,0.0,0.0,0.022840287536382675,0.999739110469818
1,Action_WZBECJQR,Grasping,1600332002.2668571,1600332002.8231723,0.5563151836395264,True,,Action_WXSFCOTU,,,milk_1,, :LEFT,Front,,,1,Action_WZBECJQR,0.4643067359924317,-0.97931702931722,3.814697266402156e-09,0.0,0.0,-0.301564484834671,0.9534457921981812
2,Action_WEODXVCY,Grasping,1600331986.9108505,1600331987.5165775,0.6057271957397461,False,CRAMGripperClosedCompletely,Action_IPGYQWRD,,,milk_1,, :LEFT,Front,,,2,Action_WEODXVCY,-0.039999961853027344,-1.2400002797444662,3.814697266402156e-09,0.0,0.0,0.022840283811092377,0.999739110469818
3,Action_CBFTRIOK,Grasping,1600331976.299686,1600331976.9491613,0.6494753360748291,False,CRAMGripperClosedCompletely,Action_QPUFSOWL,,,milk_1,, :LEFT,Front,,,3,Action_CBFTRIOK,-0.039999961853027344,-1.2400002797444662,3.814697266402156e-09,0.0,0.0,0.022840287536382675,0.999739110469818
5,Action_DZMVSRKY,Grasping,1600331961.7615244,1600331962.2459612,0.4844367504119873,False,CRAMGripperClosedCompletely,Action_XEBLFMSY,,,milk_1,, :LEFT,Front,,,5,Action_DZMVSRKY,-0.039999961853027344,-1.2400002797444662,3.814697266402156e-09,0.0,0.0,0.022840246558189392,0.999739110469818
1,Action_PNHLXOZW,Grasping,1600406466.1464868,1600406466.7339866,0.5874998569488525,True,,Action_NPXOSHQK,,,milk_1,, :LEFT,Front,,,1,Action_PNHLXOZW,0.5788443883260092,-0.9357254028320312,3.814697266402156e-09,0.0,0.0,-0.40814948081970215,0.9129151105880736
0,Action_JZWBRLDY,Grasping,1600376730.0181642,1600376730.6057622,0.5875983238220215,False,CRAMGripperClosedCompletely,Action_QHUEWYTG,,,milk_1,, :LEFT,Front,,,0,Action_JZWBRLDY,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
1,Action_LBQSIJGP,Grasping,1600376740.070635,1600376740.5919192,0.5212838649749756,False,CRAMGripperClosedCompletely,Action_ELIHWCOF,,,milk_1,, :LEFT,Front,,,1,Action_LBQSIJGP,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
2,Action_GLZUPJDW,Grasping,1600376716.230299,1600376716.6784494,0.4481503963470459,False,CRAMGripperClosedCompletely,Action_BZKNLJPG,,,milk_1,, :LEFT,Front,,,2,Action_GLZUPJDW,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
4,Action_ERIUSZPG,Grasping,1600376784.7054017,1600376785.296896,0.5914943218231201,True,,Action_SQBJMKNH,,,milk_1,, :LEFT,Front,,,4,Action_ERIUSZPG,0.3032508532206217,-1.0864883422851563,3.814697266402156e-09,0.0,0.0,-0.160160630941391,0.9870909452438354
5,Action_UOJDREFG,Grasping,1600376707.331373,1600376707.7729049,0.4415318965911865,False,CRAMGripperClosedCompletely,Action_PFSDTGVM,,,milk_1,, :LEFT,Front,,,5,Action_UOJDREFG,0.19999980926513672,-0.7600002288818359,3.814697266402156e-09,0.0,0.0,-0.2611634135246277,0.9652945995330809
6,Action_WORDNQZK,Grasping,1600376753.3498642,1600376753.8539624,0.5040981769561768,False,CRAMGripperClosedCompletely,Action_PYZOFSVC,,,milk_1,, :LEFT,Front,,,6,Action_WORDNQZK,0.039999961853027344,-0.8400001525878906,3.814697266402156e-09,0.0,0.0,-0.1858074963092804,0.982586145401001
7,Action_PLHMWQNY,Grasping,1600376763.5128698,1600376764.0909202,0.5780501365661621,False,CRAMGripperClosedCompletely,Action_HRLPCQOM,,,milk_1,, :LEFT,Front,,,7,Action_PLHMWQNY,0.039999961853027344,-0.8400001525878906,3.814697266402156e-09,0.0,0.0,-0.1858074963092804,0.982586145401001
0,Action_NMCQYGPW,Grasping,1600384477.2475667,1600384477.7933626,0.5457959175109863,False,CRAMGripperClosedCompletely,Action_FICGBZVW,,,milk_1,, :LEFT,Front,,,0,Action_NMCQYGPW,0.6399998982747396,-0.5199999809265137,3.814697266402156e-09,0.0,0.0,-0.5423122644424438,0.8401770591735841
